Structure Number,Tower Type,Assembly Type,Foundation Type,Tower Steel,Foundations,Date Fdn Installed,Assembly,Erected,Date Tower Stood,Strung/Clipped,OPGW Splice,Final Inspection,,,Foundation,Tower Assembly,Tower Erection,Stringing [km],Final Inspection,,,Req'd Cleairng on Span (est) [ha],% Clearing Complete on Span,equivalent ha complete,Report #,,ahead span [m],AMC / Diverter Reqd,AMC/Diverter Completed,
De Salaberry Sta.,Gantry,--,--,,NA,NA,NA,NA,,Not In Progress,Not In Progress,Not In Progress,,Total,203,203,203,78.7,204,Completed,On-Site,,,0,,,161.89,NA,NA,
1,D-204-0+0,Lattice,HELICAL,,Completed,24-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,Actual Progress,153,97,95,13.56,32,In Progress,Gate 6,,,0,,,208.62,NA,NA,
2,A-210-5+0,Lattice,HELICAL,,Completed,23-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,%Completed,75%,48%,47%,17%,16%,Not In Progress,,,,0,,,208.61,NA,NA,
3,F-207-3+9,Lattice,HELICAL,,Completed,26-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,In Progress,8,1,0,3.04,32,,,,,0,,,381.99,NA,NA,
4,A-210-5+6,Lattice,HELICAL,,Completed,27-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
5,A-210-5+6,Lattice,HELICAL,,Completed,29-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
6,A-210-5+6,Lattice,HELICAL,,Completed,1-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
7,A-210-5+6,Lattice,HELICAL,,Completed,2-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
8,A-210-5+6,Lattice,HELICAL,,Completed,3-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
9,A-210-5+6,Lattice,ARTESIAN HELICAL,,Completed,7-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
10,A-210-5+6,Lattice,ARTESIAN HELICAL,,Completed,8-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
11,A-210-5+6,Lattice,HELICAL,,Completed,9-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
12,A-210-5+6,Lattice,HELICAL,,Completed,9-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
13,A-210-5+6,Lattice,HELICAL,,Completed,10-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
14,A-210-5+6,Lattice,HELICAL,,Completed,11-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
15,A-210-5+6,Lattice,HELICAL,,Completed,14-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
16,A-210-5+6,Lattice,HELICAL,,Completed,15-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
17,A-210-5+6,Lattice,HELICAL,,Completed,16-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
18,A-210-5+6,Lattice,HELICAL,,Completed,11-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,384.99,NA,NA,
19,F-207-3+9,Lattice,HELICAL,,Completed,17-Jan-22,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,392.78,NA,NA,
20,A-210-5+6,Lattice,HELICAL,,Completed,12-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,407.50,NA,NA,
21,A-210-5+6,Lattice,HELICAL,,Completed,11-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,419.90,NA,NA,
22,A-210-5+6,Lattice,HELICAL,,Completed,8-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,413.70,NA,NA,
