Facts,number
The scientific term for brain freeze is “sphenopalatine ganglioneuralgia”.,1
Canadians say “sorry” so much that a law was passed in 2009 declaring that an apology can’t be used as evidence of admission to guilt.,2
"Back when dinosaurs existed, there used to be volcanoes that were erupting on the moon.",3
The only letter that doesn’t appear on the periodic table is J.,4
"One habit of intelligent humans is being easily annoyed by people around them, but saying nothing in order to avoid a meaningless argument.",5
"There were two AI chatbots created by Facebook to talk to each other, but they were shut down after they started communicating in a language they made for themselves.",6
Nintendo trademarked the phrase “It’s on like Donkey Kong” in 2010.,7
"The famous line in Titanic from Leonardo DiCaprio, “I’m king of the world!” was improvised.",8
A single strand of Spaghetti is called a “Spaghetto”.,9
Hershey’s Kisses are named that after the kissing sound the deposited chocolate makes as it falls from the machine on the conveyor belt.,10
"In Colorado, USA, there is still an active volcano. It last erupted about the same time as the pyramids were being built in Egypt.",11
The first movie ever to put out a motion-picture soundtrack was Snow White and the Seven Dwarves.,12
"Fruit stickers are edible, though the same as any fruit, washing prior to eating is recommended. The glue used for them is regulated by the FDA.",13
"At birth, a baby panda is smaller than a mouse.",14
Iceland does not have a railway system.,15
"The largest known prime number has 17,425,170 digits. The new prime number is 2 multiplied by itself 57,885,161 times, minus 1.",16
"Forrest Fenn, an art dealer and author, hid a treasure chest in the Rocky Mountains worth over 1 million dollars. It still has not been found.",17
The tongue is the only muscle in one’s body that is attached from one end.,18
The Lego Group is the world’s most powerful brand. There are more Lego Minifigures than there are people on Earth.,19
"Elvis was originally blonde. He started coloring his hair black for an edgier look. Sometimes, he would touch it up himself using shoe polish.",20
"The voice actor of SpongeBob and the voice actor of Karen, Plankton’s computer wife, have been married since 1995.",21
"Octopuses and squids have beaks. The beak is made of keratin – the same material that a bird’s beak, and our fingernails are made of.",22
75% of the world’s diet is produced from just 12 plant and five different animal species.,23
The original Star Wars premiered on just 32 screens across the U.S. in 1977. This was to produce buzz as the release widened to more theaters.,
"The British government coined the slogan, “Keep Calm and Carry on” during World War 2 in order to motivate citizens to stay strong.",
"Sour Patch Kids are from the same manufacturer as Swedish Fish. The red Sour Patch Kids are the same candy as Swedish Fish, but with sour sugar.",
"IKEA is an acronym which stands for Ingvar Kamprad Elmtaryd Agunnaryd, which is the founder’s name, farm where he grew up, and hometown.",
Violin bows are commonly made from horse hair.,
There are less than 30 ships in the Royal Canadian Navy which are less than most third-world countries.,
"Costa Coffee employs Gennaro Pelliccia as a coffee taster, who has had his tongue insured for £10 million since 2009.",
Johnny Cash took only three voice lessons before his teacher advised him to stop taking lessons and to never deviate from his natural voice.,
"There is an island called “Just Enough Room”, where there’s just enough room for a tree and a house.",
"Although GPS is free for the world to use, it costs $2 million per day to operate. The money comes from American tax revenue.",
"In World War II, Germany tried to collapse the British economy by dropping millions of counterfeit bills over London.",
The color red doesn’t really make bulls angry; they are color-blind.,
"Until 2016, the “Happy Birthday” song was not for public use. Meaning, prior to 2016, the song was copyrighted and you had to pay a license to use it.",
Lettuce is a member of the sunflower family.,
"A cluster of bananas is called a “hand”. Along that theme, a single banana is called a “finger”.",
"For nearly 60 years, Texas didn’t have an official state flag between 1879 & 1933. During that time, the Lone Star flag was the active, but the unofficial flag.",
Red Solo cups are a common souvenir to bring back from the United States. The novelty comes from the cups being used in many party scenes in movies.,
Those cute furry bits inside a cat’s ear are called “ear furnishings”. They ensure that dirt doesn’t go inside and also helps them to hear well.,
China is spending $3 billion dollars to build panda-shaped solar farms in order to get more young people interested in renewable energy.,
Mercury and Venus are the only two planets in our solar system that do not have any moons.,
The average American child is given $3.70 per tooth that falls out.,
I Will Always Love You was originally written and recorded in 1973 by Dolly Parton. It was written as a farewell to her mentor of seven years.,
Vanilla flavoring is sometimes made with the urine of beavers.,
"If you heat up a magnet, it will lose its magnetism.",
Cruise ships have morgues that can store up to 10 bodies at once. The average amount of people that die on cruise ships per year is 200.,
More tornadoes occur in the United Kingdom per square mile than any other country in the world.,
Tic Tacs got their name from the sound they make when they are tossed around in their container.,
